Fe2O3,MnO,P2O5,SiO2,TiO2,Al2O3,CaO,Na2O,MgO,K2O,MAP
4.71,0.02,0.02,69.36,0.86,10.46,0.06,0.3,0.64,2.02,1322.54
2.69,0.04,0.07,77.51,0.33,5.06,0.26,0.61,0.31,1.57,1073.38
2.98,0.01,0.04,70.53,0.95,9.08,0.07,0.4,0.42,1.72,1261.44
3.62,0.04,0.16,68.64,0.74,4.37,0.08,0.65,0.28,1.59,1470.77
2.82,0.06,0.1,76.82,0.37,8.98,1.27,1.75,1.4,1.87,315.08
4.26,0.07,0.12,68.52,0.83,8.64,0.27,0.97,0.64,2,1423.2
4.66,0.07,0.08,62.37,1.08,4.14,0.01,0.21,0.08,1.8,1329.25
5.96,0.07,0.12,65.64,0.68,13.91,0.76,2.42,2.81,1.86,1371.31
5.52,0.07,0.08,77.91,0.79,10.55,0.03,0.1,0.43,1.64,1350.13
4.18,0.04,0.09,76.08,0.71,11.71,0.46,0.98,0.83,1.67,1098.84
4.68,0.03,0.09,70.42,1.05,15.84,0.06,0.25,0.8,2.77,1295.68
3.76,0.03,0.02,76.16,1.02,8.9,0.1,0.11,0.37,0.98,1471.86
4.7,0.1,0.09,76.1,0.73,11.71,0.64,1.18,0.9,1.84,1118.87
3.14,0.04,0.06,75.44,0.61,12.29,0.36,1.16,1,1.87,411.46
4.7,0.08,0.12,69.46,0.57,13.25,0.53,0.74,2.65,3.11,428.96
3.86,0.08,0.13,76.08,0.59,11.24,1.07,1.06,1.62,2.4,409.83
2.61,0.07,0.09,68.01,0.63,6.6,0.48,1.11,0.64,2.19,860.2
2.52,0.02,0.07,76.82,1.04,11.6,0.03,0.14,0.38,1.63,1201.18
3.1,0.04,0.1,77.26,0.48,8.96,1.8,1.09,0.94,2.38,391.81
3.93,0.01,0.11,82.2,0.89,6.51,0.03,0.07,0.27,0.13,1096.2
6.71,0.09,0.12,74.59,0.65,12.31,0.53,0.67,1.06,2.26,1037.4
10.74,0.08,0.24,48.52,0.82,5.38,1.77,2.78,0.71,2,869.45
3.95,0.02,0.06,79.82,0.7,7.64,0.03,0.06,0.3,0.88,1235.24
4.25,0.08,0.13,73.29,0.75,9.74,0.31,0.74,0.75,1.99,1201.76
5.15,0.1,0.06,71.52,0.74,11.67,0.68,0.91,1.07,2.33,968.23
2.64,0.01,0.05,78.56,0.77,6.68,0.06,0.16,0.24,0.83,1235.44
3.72,0.1,0.11,75.44,0.6,11.35,1.26,1.3,1.04,2.49,427.77
6.56,0.1,0.19,65.13,0.88,15.43,0.73,1.38,1.8,3.1,954
5.05,0.1,0.06,72.14,1.1,10.98,0.23,0.31,0.85,1.72,1047.92
4.25,0.1,0.11,74.63,0.74,10.34,0.62,0.76,0.83,2.13,1201.76
1.81,0.02,0.08,83.5,0.74,6.17,0.19,0.15,0.19,0.56,1218.65
1.33,0.01,0.04,73.79,0.5,3.47,0.02,0.25,0.01,1.31,1127.15
2.32,0.04,0.06,68.97,0.5,4.76,0.48,0.95,0.58,1.76,666.28
4.3,0.21,0.07,81.42,0.93,10.44,0.02,0.25,0.56,1.62,1409.83
1.6,0.02,0.03,78.05,0.27,6.31,1.57,0.96,0.36,2.07,285.34
2.78,0.06,0.05,76.61,0.63,9.52,0.39,0.57,0.62,1.81,411.08
0.54,0.01,0.03,79.86,0.97,3.56,0.1,0.04,0.06,0.07,1222.83
4.42,0.11,0.18,68.46,0.71,6.58,0.82,0.68,1.17,2.46,707.5
2.22,0.07,0.09,78.37,0.39,7.86,1.44,1.57,0.67,1.75,545.26
3.67,0.03,0.22,72.37,0.57,11.02,1.02,2.09,1.01,1.75,1016.25
2.74,0.01,0.09,81.48,0.71,8.29,0.03,0.11,0.3,0.89,1204.66
7.4,0.01,0.04,62.57,1.08,17.14,0.05,0.3,1.36,2.72,1206.3
4.02,0.08,0.13,73.38,0.73,10.47,0.37,0.8,0.85,2.02,1082
1.25,0.02,0.02,82.06,0.26,3.74,0.27,0.25,0.27,0.9,506.28
3.57,0.04,0.08,73.55,0.88,10.41,0.07,0.15,0.39,1.85,1439.41
3.89,0.06,0.12,75.74,0.61,11.07,2.06,1.29,1.23,2.46,428.25
7.34,0.11,0.16,58.91,0.84,13.26,1.04,1.25,2.22,3.35,954
5.85,0.03,0.15,71.54,0.88,7.83,0.27,0.81,0.62,0.69,1035.81
3.17,0.03,0.04,72.74,1.04,10.12,0.35,0.39,0.94,1.26,417.63
2.67,0.01,0.06,80.85,0.28,4.12,0.2,0.12,0.2,0.89,454.24
4.47,0.06,0.04,68.34,0.83,12.05,0.18,0.46,0.93,2.29,1535.45
2.7,0.01,0.02,73.67,1.05,5.53,0.09,0.05,0.19,0.39,1457.46
5.15,0.11,0.14,70.46,0.9,12.87,1.49,1.8,1.14,2.13,655.15
5,0.06,0.1,61.19,0.73,4.95,0.72,0.71,0.76,2.12,616.77
6.26,0.04,0.15,63.36,0.84,11.48,0.66,1.33,1.02,2.06,1313.83
0.93,0.01,0.02,83.99,0.17,2.78,0.21,0.17,0.22,0.6,506.28
5.15,0.04,0.11,63.11,1.05,16.32,0.06,0.27,0.86,3.37,1224.38
2.48,0.02,0.07,71.52,0.75,7.07,0.2,0.34,0.28,1.53,1158.6
6.43,0.14,0.11,63.96,1.12,12.87,0.21,0.67,1.11,2.5,963.96
2.71,0.03,0.1,69.26,0.58,5.89,0.03,0.76,0.47,1.38,1290.59
2.08,0.04,0.07,77.85,0.46,6.24,2.14,0.94,0.67,1.99,683.4
0.21,0,0.05,85.88,0.21,0.84,0.01,0.01,0.04,0.1,1177.84
4.86,0.03,0.05,63.74,1.12,12.88,0.07,0.17,0.59,2.37,1325.28
6.97,0.11,0.2,58.44,0.9,16.45,0.7,2.02,1.6,3.16,1028.41
3.66,0.1,0.07,76.98,0.46,10.48,1.07,1.48,0.63,1.72,1316.26
2.8,0.05,0.16,56.28,0.37,8.36,2,3.52,0.57,2.77,946.12
7.66,0.08,0.08,51.13,0.79,13.76,3,2.17,3.16,3.99,293
6.45,0.07,0.19,56.94,1,6.13,0.4,1.43,0.39,1.47,1356.42
4.45,0.07,0.23,66.83,0.48,12.2,2.66,2.51,1.19,3.33,326.37
4.15,0.04,0.08,65.21,0.75,9.36,0.41,0.96,0.66,1.92,1462.87
6.1,0.08,0.09,65.93,0.91,12.19,0.69,1.17,0.77,1.92,1305.09
4.42,0.07,0.09,67.08,0.92,11.65,0.11,0.23,0.62,2.48,1267.92
3.87,0.07,0.09,70.51,0.5,10.73,0.69,0.82,1.37,2.4,423.53
1.95,0.24,0.03,90.1,0.61,4.68,0.12,0.07,0.2,0.55,1441.85
5.43,0.12,0.24,64.41,0.89,13.08,1.86,1.78,1.36,3.23,412.39
2.91,0.04,0.15,68.78,0.46,10.06,1.32,1.44,0.98,2.69,439.99
3.56,0.09,0.04,71.83,0.48,10.91,0.69,1.23,0.73,2.07,369.19
1.89,0.02,0.03,80.31,0.57,10.61,0.24,0.3,0.51,1.36,420.72
5.18,0.03,0.12,68.29,0.81,9.58,0.33,1.12,0.96,1.01,1035.81
5.1,0.1,0.14,68.74,0.84,11.85,1.86,1.84,1.25,2.12,575.53
