Fe2O3,MnO,P2O5,SiO2,TiO2,Al2O3,CaO,Na2O,MgO,K2O,MAP
7.64,0.17,0.09,48.89,0.62,16.87,4.77,1.82,1.9,0.67,1298.71
2.16,0.03,0.08,59.7,0.33,7.34,8.94,0.7,1.2,1.63,241.31
2.57,0.13,0.12,52.31,0.36,8.35,8.57,1.18,2.17,1.62,620.28
3.22,0.05,0.15,53.87,0.44,9.64,10.12,1.23,1.84,2.09,356.12
2.27,0.04,0.09,56.05,0.35,7.87,9.46,0.83,1.27,1.63,248.11
2.55,0.12,0.15,52.32,0.35,7.56,9.13,1.16,3.01,1.35,636.35
3.33,0.07,0.21,56.5,0.49,10.02,10.94,0.87,1.45,2.21,341.04
5.64,0.15,0.37,46.08,0.71,14.73,10.87,2.32,2.43,2.08,170.85
2.95,0.04,0.09,48.95,0.38,9.6,13.07,0.28,2.56,2.84,386.07
3.82,0.06,0.21,42.42,0.45,11.32,13.97,0.44,5.15,2.38,223.62
2.48,0.08,0.13,52.11,0.31,7.07,15,0.8,2.55,1.33,519.86
1.06,0,0.03,60.17,0.16,4.66,16.6,0.01,0.73,1.01,297.46
3.12,0.04,0.11,39.59,0.37,9.19,15.77,0.7,2.17,1.88,285.56
2.09,0.04,0.07,46.31,0.37,6.77,18.35,0.99,1.09,1.54,353.66
4.51,0.08,0.2,4.96,0.31,7.46,10,0.6,2.43,0.95,203.71
1.11,0.01,0.03,52.87,0.27,4.12,22.46,0.42,0.44,1.34,580.56
2.01,0.03,0.15,38.04,0.3,6.54,21.56,0.48,3.27,1.46,482.51
0.97,0.01,0.07,24.87,0.13,3.35,38.93,0.06,0.63,0.21,870.71
0.57,0.02,0.09,10.59,0.09,1.74,44.88,0.2,0.98,0.4,449.01
